prompot,completion（内涵）
唯识观,"唯识观，佛教术语，梵文vijñānamātra paśyati，或vijñaptimātra paśyati，是佛陀三时教法的观修法门。就是观唯识无境，只有内在的心识（阿赖耶识），没有心识之外的事物。就是观凡夫以为的心外事物是根本不存在的，存在的只是心外事物不存在而凡夫误以为心外事物存在的这个错觉、这个虚妄分别。就是观凡夫世界只是虚妄分别，除此之外什么都没有。始终坚持唯识无境，圣者能见的凡夫心外一无所有，这才是真实的了义佛法。
"
唯心所现,唯心所现，佛教术语，梵文svacittadṛśyamātra，意思是“只有心自己的显现”。这是佛陀三时教法教理体系的一个词语，与“境界自心现”是同义词，是三时教法的核心词汇之一。
了义,了义，佛教术语，梵文是nītārtha，指最上的、最契合真实的、最圆满的道理，是相对“不了义”而言。“了”有两方面的含义，第一，是很清楚、很明白的意思；第二，是全面了解、毫无保留的意思，“义”就是道理，这里特指佛陀所说佛法的法义，了义有时也称为“胜义”、“最胜义”。
四弘誓愿,四弘誓愿，佛教术语，也叫做“通愿”、“共愿”，指四个宏大的誓愿，是修行大乘佛法、誓愿成就无上菩提的众生都要发的愿。四弘誓愿的内容是：众生无边誓愿度，烦恼无尽誓愿断，法门无量誓愿学，佛道无上誓愿成。
如理思维,如理思维，佛教术语，来源于“正闻熏习、如理思维”这句话。首先要听闻正法，听闻了正法就要如理思维，就是按照佛陀的教法认真思考，反反复复的思考，思考的目的是对佛陀教法要生起确定的信心。
如梦观,如梦观，佛教术语，梵文svapnôpamatā draṣṭavya，佛教经常用梦比喻凡夫自以为的真实的世界其实如梦境一般，梦中感觉很真实的事物，梦醒之后会发现，其实根本就没有存在过，目的是破除凡夫对凡夫自以为的真实世界的理解。
轮回,轮回，印度宗教哲学术语，梵文samsāra，是印度古人的一种生命观，主要指“三世的六道轮回”的生命观，也被称为“六道轮回”。
无明,"无明，印度哲学术语，梵文avidyā，指不明真理，不见真实，即对真理、对真实的无知，就是无
明。在佛教中，无明是障碍着众生获得解脱的根本原因。佛陀认为，凡夫之所以轮回于生死、不能涅槃、不能成佛，原因是糊涂，把不真实的当成真实，见不到真正的真实，犯了增益与损减的错误。这个糊涂，佛教有个专有名词来表达，梵文是“avidyā”，翻译成汉语就是“无明”。"
随顺真实,随顺真实，佛教术语，指佛陀所说法随顺佛陀亲证的真正的真实性——真如。
随顺众生,随顺众生，佛教术语，指佛陀所说法随顺众生的根性，也就是要适度地向凡夫做些妥协，但妥协的目的是要接引众生，走向佛陀证悟的真实。
闻不厌足,闻不厌足，佛教术语，指听闻佛陀的正法，永远都不要疲厌和满足。
人我,人我，佛教术语，作为一个凡夫，会认为自己内在的主观的精神世界，是一个真实存在，而且是不变的，独立的。凡夫死死地执着的这个内在主观精神的世界的真实的存在，佛教称为“人我”。人我，就是印度思想家们所坚持认为的、在生死轮回的背后，那个常一不变、独立存在的轮回的精神主体。
法我,法我，佛教术语，梵文dharmasvabhāva，指法的自性，即客观物质世界的真实存在性。即凡夫执著的外在客观物质世界的独立存在、常一不变性，佛教就称为“法我”。
轮回无我（人我空）,轮回无我，净名术语，指生命从生到死、死亡到再生的流转背后没有一个常一不变、独立存在的精神主体，也就是说，并没有“我”这一精神主体在轮回，这是对小乘涅槃境界的总结。 
涅槃寂静,涅槃寂静，佛教术语，指通过修行，能够解决了内在的自我的烦恼而获得的一种自我的清静的状态，涅槃寂静是佛教初时教法讲的涅槃境界。
菩萨,"菩萨，佛教术语，梵文bodhisattva，由两个词组成，bodhi是觉，sattva指有情、众生，音译是“菩提萨埵”，简称“菩萨”，意译“觉有情”，就是“自觉觉他的有情”。一个众生、一个有情，发了菩提心，就可以说是菩萨，发菩提心的众生就是菩萨，也只有发了菩提心的菩萨，修菩萨行，才能成佛。
"
菩萨道,菩萨道，佛教术语，梵文bodhisattva-caryā，亦称菩萨行，就是度众生而且度了众生还得当没度，也就是菩萨是以度众生的觉他方式而实现自觉的，是以度众生的方式来修行的，这是大乘佛法区别于小乘佛法、区别于人天乘佛法的最大要害。
菩提心,菩提心，佛教术语，梵文bodhicitta，bodhi音译为“菩提”，意译为“觉”，从糊涂到明白的过程就叫bodhi，就叫觉。citta译为“心”，表示精神活动。菩提心直译就是觉的心，大乘佛法的解脱方案是打破无明见真实，就是一个从糊涂走向明白的历程，就是希求众生从糊涂的凡夫走向智者境界而解脱的觉悟的心，就是一个修行大乘佛法的人，他们并不仅仅希求自我的解脱，而是希求众生的解脱，而且把一切众生的解脱当作自己的解脱，把度化一切众生走向解脱当作自己修行解脱的路径——这样的思想境界，这样心境的生起，佛教给了一个专有名词，叫作“菩提心”，大乘佛法的修行归根结底就是“bodhi”这个觉的心、菩提心的生起与修为的过程。
